temperature,diversity_penalty,mean_previous_false_count,max_previous_false_count
100,0,5.0,16
100,10,4.333333333333333,20
100,20,6.285714285714286,23
150,0,5.086956521739131,27
150,10,6.0,32
150,20,7.944444444444445,40
180,0,7.533333333333333,31
180,10,7.352941176470588,29
180,20,5.7368421052631575,19
50,0,30.818181818181817,141
50,0,13.947368421052632,84
50,10,17.61111111111111,169
50,10,11.357142857142858,39
50,20,24.583333333333332,127
50,20,15.375,106
100,0,6.166666666666667,17
100,0,8.5,37
100,10,8.277777777777779,32
100,10,7.722222222222222,20
100,20,7.052631578947368,26
100,20,5.35,13
150,0,6.318181818181818,18
150,0,3.9166666666666665,13
150,10,10.846153846153847,42
150,10,4.526315789473684,21
150,20,4.6,24
150,20,5.391304347826087,19
180,0,5.925925925925926,33
180,0,4.88,27
180,10,7.083333333333333,41
180,10,4.791666666666667,14
180,20,4.458333333333333,27
180,20,6.2727272727272725,32
50,0,15.473684210526315,103
50,10,12.8,80
50,20,19.9375,109
