1," A new trailer has been released for the upcoming Marvel movie, giving fans a fresh look at the superheroine in action.",True,0,"6,0",True,1
2," The film is set to hit theaters on March 8, 2019.
",True,6,"5,2",True,1
3," Captain Marvel stars Brie Larson as Carol Danvers, a human-Kree hybrid with.
",True,3,"5,2",True,2
4," The film takes place before the events of Iron Man (2008) and Captain America: The First Avenger (2011), making it the first Marvel Cinematic Universe (MCU) film to be set in the 1990s.",True,3,"5,2",True,3
5," Captain Marvel is set to hit theaters on March 8, 2019.",True,6,"5,2",True,4
6," The latest poster and trailer for the highly anticipated Marvel film have just dropped, showing Brie Larson's Captain Marvel in all her glory. '",True,0,"5,2",True,5
7," The first Captain Marvel trailer arrived back in September, and now we're getting another taste of what to expect from this highly anticipated film.",True,2,"5,2",True,6
8, 'Captain Marvel' Trailer: Brie Larson Soars As The MCU's Most Powerful Hero.,False,,,,1
9," New Captain Marvel Trailer Is Here, and It's Out of This World!",False,,,,2
10," Watch the latest Captain Marvel trailer below!
",True,2,"5,2",True,3
11,"Captain Marvel, directed by Anna Boden and Ryan Fleck, stars Brie Larson as Carol Danvers, a former Air Force pilot who gains powers after an encounter with an alien species.",True,1,"5,2",True,1
12,"Captain Marvel Trailer #2 (2019) Movie Trailers - YouTube Watch the second official trailer for Captain Marvel, starring Brie Larson, Samuel L. Jackson, Ben Mendelsohn, and Jude Law.",True,1,"5,2",True,2
13,Captain Marvel (2019) - IMDb.,False,,,,3
14,"Captain Marvel Trailer Breakdown: Easter Eggs, References & More ScreenRant·2 days ago We've got our second full-length trailer for Captain Marvel, and it's packed with even more clues about the movie's plot, characters, and connections to the wider MCU.
",False,,,,4
15,Captain Marvel is a 2019 American superhero film based on the Marvel Comics character Carol Danvers.,False,,,,5
16,Captain Marvel Trailer 2 Breakdown: All The Hidden Details You Missed.,True,3,"5,2",True,6
17,"Captain Marvel (2019) Cast & Crew - IMDb.
'",True,5,"5,2",True,7
18,"Captain Marvel' Trailer: Brie Larson Soars As The Cosmic Superhero Captain Marvel (2019) cast and crew credits, including actors, actresses, directors, writers and more.. Dec 04, 2018 · Watch the brand-new trailer for Marvel Studios' CAPTAIN MARVEL!",True,1,"1,4",True,1
19," In theaters March 8, 2019.",True,7,"6,2",True,1
20," In theaters March 8, 2019 Subscribe to Marvel: http://bit.ly/WeO3YJ Follow Marvel on.
",True,3,"6,2",True,2
21," #CaptainMarvel #MarvelStudios.
",True,7,"6,2",True,3
22," In theaters March 8, 2019..",True,7,"6,2",True,4
23," In theaters March 8, 2019.",True,7,"6,2",True,5
