temperature,diversity_penalty,quality_score
100,15,5
100,15,5
100,15,4
100,20,4
100,20,5
100,20,5
100,5,4
100,5,4
100,5,3
130,15,5
130,15,4
130,15,5
130,20,4
130,20,4
130,20,5
130,5,5
130,5,4
130,5,4
170,15,5
170,15,4
170,15,5
170,20,4
170,20,4
170,20,4
170,5,2
170,5,4
170,5,4
100,15,4
100,15,5
100,15,4
100,20,4
100,20,4
100,20,4
100,5,5
100,5,5
100,5,5
130,15,4
130,15,4
130,15,5
130,20,3
130,20,4
130,20,5
130,5,5
130,5,4
130,5,4
170,15,4
170,15,4
170,15,4
170,20,4
170,20,4
170,20,5
170,5,5
170,5,4
170,5,3
100,15,5
100,15,4
100,15,4
100,20,4
100,20,4
100,20,5
100,5,5
100,5,4
100,5,4
130,15,4
130,15,4
130,15,4
130,20,4
130,20,4
130,20,4
130,5,4
130,5,5
130,5,4
170,15,5
170,15,4
170,15,4
170,20,4
170,20,4
170,20,4
170,5,4
170,5,5
170,5,5
